City,Square Feet per $1m
San Francisco,1502
Boston,2092
Washington,2198
New York,2358
San Diego,2375
Long Beach,2933
Oakland,3460
Seattle,3472
Denver,5025
Austin,5128
Miami,5291
Portland,5348
Charleston,5917
Chicago,6173
Minneapolis,6536
Sacramento,6579
Atlanta,6849
Dallas,7042
Baltimore,7692
Phoenix,7937
Nashville,8130
Fresno,8264
Mesa,8403
Tuscon,8772
Colorado Springs,8850
Raleigh,8850
Las Vegas,9259
Philadelphia,9346
Charlotte,10204
San Antonio,10526
Houston,10753
New Orleans,11364
Jacksonville,11765
Fort Worth,11765
Arlington,12346
Memphis,15625
Cleveland,21739
Detroit,83333
