iso3,top_color
AND,3
AFG,3
ATG,3
AIA,3
AGO,13
ABW,3
BMU,5
BES,3
BHS,3
BWA,8
BLZ,5
COD,13
CIV,13
CUB,0
CPV,0
CUW,5
DMA,3
ETH,0
FJI,3
GRD,3
GUF,0
GHA,5
GMB,0
GLP,3
GUY,5
HTI,3
KGZ,3
LAO,5
LCA,0
LBR,10
LBY,3
MHL,5
MNP,3
MUS,5
MOZ,5
PNG,0
SPM,0
SDN,3
SMR,0
SOM,0
SYR,3
TCA,3
TGO,0
UGA,0
UZB,5
VCT,3
VGB,13
VUT,3
ZMB,13
ZWE,3
LIE,3
SEN,3
KNA,5
MCO,5
KEN,3
GIB,6
PER,3
LVA,3
EST,3
DEU,3
MLI,3
MTQ,3
NGA,10
PYF,5
PSE,3
AZE,0
VIR,13
MNG,3
MDV,4
HKG,3
REU,0
BRB,3
MMR,0
SLV,0
SXM,0
BEL,3
JAM,3
SYC,0
MAC,3
TUN,5
CYP,3
KHM,5
TZA,8
MDA,3
IRQ,3
SUR,3
MNE,5
ISL,13
HND,3
NIC,13
KAZ,3
ECU,3
BHR,3
OMN,0
QAT,3
TTO,3
LKA,3
GEO,3
GRL,5
ARM,5
CHL,0
NCL,13
JOR,3
URY,3
NPL,5
MAR,5
ESP,3
CYM,3
ALB,3
BRN,3
MEX,3
PAN,0
GGY,13
JEY,5
DOM,3
DZA,3
BGR,3
BOL,5
FRO,5
GRC,0
IMN,3
DNK,5
CHE,0
PRY,3
MKD,3
ALA,13
LBN,5
KWT,3
MLT,3
ROU,3
GUM,13
CZE,3
BLR,3
NZL,3
ZAF,3
KOR,3
PAK,10
MYS,3
HRV,3
AUS,3
NLD,3
IND,6
CRI,3
BGD,3
SGP,3
ARG,0
GTM,3
LUX,3
NOR,5
POL,0
CHN,3
VEN,3
AUT,5
CAN,3
IRL,0
EGY,3
ISR,0
BRA,3
PRI,3
RUS,5
HUN,3
PHL,3
COL,8
TWN,3
FIN,0
GBR,3
SWE,13
VNM,3
SVK,3
USA,3
SRB,3
UKR,3
IDN,5
BIH,3
SVN,13
PRT,3
FRA,13
JPN,3
TUR,5
SAU,3
THA,3
ARE,3
ITA,0
LTU,3
